	Username	Text	mentions	retweets	hastags	geo	favorites	date	month	day	hour
0		You're early ! - join us too tomorrow from 10-12 #solidariTEA		1	#solidariTEA		5	2017-12-06 20:09:05	12	6	20
0		Missed this mornings events so I'm having my #cuppa now in support of #solidariTEA @NUIGsolidariTEA @lorrainetansey @AppSocScs_LIT @IrishLimericker @lisascottpsych @stritchj @DrMattCannon pic.twitter.com/9qw1y1resx	@NUIGsolidariTEA @lorrainetansey @AppSocScs_LIT @IrishLimericker @lisascottpsych @stritchj @DrMattCannon	3	#cuppa #solidariTEA		8	2017-12-06 19:33:14	12	6	19
0		Join equality Coffee morning, 10am to 12pm, Thursday 7 December, Orbsen lobby or raise a cup on twitter. #solidariTEA pic.twitter.com/ipnTlWzh8R		9	#solidariTEA		15	2017-12-06 18:41:19	12	6	18
0		Follow @NUIGsolidariTEA and show your support and solidarity with 4 women academic who have been holding NUIG account for #genderdiscrimination for 3 years. Join equality Coffee morning, 10am to 12pm, Thursday 7 December, Orbsen lobby or raise a cup on twitter. #solidariTEA	@NUIGsolidariTEA	13	#genderdiscrimination #solidariTEA		15	2017-12-06 18:38:05	12	6	18
0		Join us tomorrow morning for #solidaritTEA with our colleagues in NUI Galway. I've made a bakewell tart and everything. That's what I call #solidariTEA . 10am, Room 101, Hannah Sheehy Skeffington Building, ALL WELCOME pic.twitter.com/xf1iM5CXfV		12	#solidaritTEA #solidariTEA		14	2017-12-06 18:09:24	12	6	18
0		Looking forward attending @NUIGsolidariTEA tomorrow and showing #solidariTEA with female academics at Leinster Hse	@NUIGsolidariTEA	5	#solidariTEA		6	2017-12-06 16:13:42	12	6	16
0		#solidariTEA https:// twitter.com/NUIGsolidariTE A/status/935181469584158721 …		0	#solidariTEA		1	2017-12-06 16:00:57	12	6	16
0		Many thanks to the colleagues at TCD who stand with us in #solidariTEA . https:// twitter.com/megafloods/sta tus/937959747369820160 …		5	#solidariTEA		7	2017-12-06 13:56:07	12	6	13
0		NCAD colleagues joining us in #solidariTEA tomorrow - many, many thanks. @theligac	@theligac	2	#solidariTEA		6	2017-12-06 13:54:59	12	6	13
0		WOW great to see @NUIGalwayAlumni supporting @NUIGsolidariTEA across the world in Sweden, London, Chile, Canada #solidariTEA @nuigalway @galwayad pic.twitter.com/IEnQrVS036	@NUIGalwayAlumni @NUIGsolidariTEA @nuigalway @galwayad	2	#solidariTEA		8	2017-12-06 10:22:19	12	6	10
